Datetime,Temperature,Humidity,Description
2024-07-07 09:00:00,23.28,90,overcast clouds
2024-07-07 12:00:00,23.7,88,overcast clouds
2024-07-07 15:00:00,28.37,63,overcast clouds
2024-07-07 18:00:00,31.86,46,overcast clouds
2024-07-07 21:00:00,30.69,54,overcast clouds
2024-07-08 00:00:00,26.73,78,light rain
2024-07-08 03:00:00,23.98,84,light rain
2024-07-08 06:00:00,22.33,80,broken clouds
2024-07-08 09:00:00,21.79,70,overcast clouds
2024-07-08 12:00:00,25.69,56,broken clouds
2024-07-08 15:00:00,30.56,43,clear sky
2024-07-08 18:00:00,33.58,31,clear sky
2024-07-08 21:00:00,32.79,36,scattered clouds
2024-07-09 00:00:00,26.8,69,scattered clouds
2024-07-09 03:00:00,24.77,81,broken clouds
2024-07-09 06:00:00,23.22,89,broken clouds
2024-07-09 09:00:00,22.43,91,overcast clouds
2024-07-09 12:00:00,25.97,73,overcast clouds
2024-07-09 15:00:00,31.36,49,overcast clouds
2024-07-09 18:00:00,34.4,39,overcast clouds
2024-07-09 21:00:00,27.65,75,light rain
2024-07-10 00:00:00,25.11,84,light rain
2024-07-10 03:00:00,23.65,92,overcast clouds
2024-07-10 06:00:00,22.63,95,overcast clouds
2024-07-10 09:00:00,22.12,97,overcast clouds
2024-07-10 12:00:00,24.35,86,overcast clouds
2024-07-10 15:00:00,29.92,60,overcast clouds
2024-07-10 18:00:00,31.53,54,light rain
2024-07-10 21:00:00,28.76,78,light rain
2024-07-11 00:00:00,25.82,74,light rain
2024-07-11 03:00:00,23.57,81,overcast clouds
2024-07-11 06:00:00,23.12,89,overcast clouds
2024-07-11 09:00:00,24.16,87,overcast clouds
2024-07-11 12:00:00,24.9,85,overcast clouds
2024-07-11 15:00:00,25.98,81,light rain
2024-07-11 18:00:00,27.82,74,light rain
2024-07-11 21:00:00,30.19,60,light rain
2024-07-12 00:00:00,26.88,73,overcast clouds
2024-07-12 03:00:00,23.41,94,moderate rain
2024-07-12 06:00:00,23.97,89,light rain
