Datetime,Temperature,Humidity,Description
2024-08-03 12:00:00,25.91,87,light rain
2024-08-03 15:00:00,27.23,77,broken clouds
2024-08-03 18:00:00,31.34,55,broken clouds
2024-08-03 21:00:00,34.53,38,overcast clouds
2024-08-04 00:00:00,29.24,60,overcast clouds
2024-08-04 03:00:00,24.71,87,light rain
2024-08-04 06:00:00,23.55,88,overcast clouds
2024-08-04 09:00:00,22.99,88,broken clouds
2024-08-04 12:00:00,24.01,78,overcast clouds
2024-08-04 15:00:00,30.13,53,overcast clouds
2024-08-04 18:00:00,28.4,56,overcast clouds
2024-08-04 21:00:00,22.67,89,light rain
2024-08-05 00:00:00,21.51,95,light rain
2024-08-05 03:00:00,21.13,96,overcast clouds
2024-08-05 06:00:00,20.42,93,overcast clouds
2024-08-05 09:00:00,19.73,93,broken clouds
2024-08-05 12:00:00,23.59,78,scattered clouds
2024-08-05 15:00:00,30.81,43,broken clouds
2024-08-05 18:00:00,33.98,30,broken clouds
2024-08-05 21:00:00,30.68,49,light rain
2024-08-06 00:00:00,21.11,97,heavy intensity rain
2024-08-06 03:00:00,21.1,98,light rain
2024-08-06 06:00:00,21.11,98,light rain
2024-08-06 09:00:00,20.13,98,light rain
2024-08-06 12:00:00,18.84,98,moderate rain
2024-08-06 15:00:00,17.95,98,moderate rain
2024-08-06 18:00:00,16.79,96,light rain
2024-08-06 21:00:00,18.41,85,light rain
2024-08-07 00:00:00,17.29,86,broken clouds
2024-08-07 03:00:00,17.48,88,overcast clouds
2024-08-07 06:00:00,16.15,95,light rain
2024-08-07 09:00:00,15.45,94,light rain
2024-08-07 12:00:00,15.24,96,light rain
2024-08-07 15:00:00,16.86,97,light rain
2024-08-07 18:00:00,17.1,93,light rain
2024-08-07 21:00:00,17.56,92,light rain
2024-08-08 00:00:00,17.54,95,light rain
2024-08-08 03:00:00,17.91,97,light rain
2024-08-08 06:00:00,18.27,98,light rain
2024-08-08 09:00:00,20.35,99,light rain
